feature,importance_mean,importance_std
slope,0.0014682205935359848,0.002242778330842887
trestbps,0.006858033373147399,0.003906059484965618
chol,0.008776030441529682,0.005226682541275244
thalach,0.009325987068053465,0.004099676655600762
age,0.01188201902946876,0.005146745903151721
sex,0.012291289655783522,0.003993111336171511
restecg,0.016600225190019514,0.008571342317193894
fbs,0.02853563192416677,0.004517403010657331
thal,0.03712735230778539,0.0117493184628303
oldpeak,0.03828414746870357,0.008283777176406175
ca,0.062232272533982204,0.013424499857039453
exang,0.06679170248695084,0.0074915800231553
cp,0.08446369814656207,0.010736869566829255
